"date","djia","nasdaqcom","btc","sp500","rate"
2018-09-27,0.316697937636602,-0.0496161976934598,-0.346012280286859,0.0374501880994871,1.70126149914112
2018-09-28,0.319811278930606,-0.0483090860526338,-0.347978085083521,0.0374252963256392,1.70126149914112
2018-10-01,0.35248611764733,-0.0510083029043601,-0.351263038336991,0.0506303823519484,1.70126149914112
2018-10-02,0.373275039138794,-0.0622674160432488,-0.353283074443373,0.04918665946877,1.70126149914112
2018-10-03,0.382498185681695,-0.0546510974954372,-0.356507793532634,0.0517754039489517,1.70126149914112
2018-10-04,0.348466553506594,-0.0980646201971525,-0.352042256940115,0.0220297342007156,1.70126149914112
2018-10-05,0.31790397626627,-0.125222898954878,-0.349282785589797,0.0020665315747028,1.70126149914112
2018-10-08,0.3246337395748,-0.140878416339502,-0.347489944298005,0.000647700465372309,NA
2018-10-09,0.315112471123442,-0.140261989289174,-0.348067862500095,-0.00444266728652209,1.70126149914112
2018-10-10,0.174210910264279,-0.234490036196227,-0.351509536357386,-0.122255432908615,1.70126149914112
2018-10-11,0.0817406085336061,-0.26222239433077,-0.371353701197337,-0.193582810869762,1.70126149914112
2018-10-12,0.1303819080976,-0.212169830025571,-0.370248476672691,-0.145342553152539,1.70126149914112
2018-10-15,0.115231894749628,-0.231898179643542,-0.350846019113543,-0.16567913238627,1.70126149914112
2018-10-16,0.208034195878355,-0.167855971927174,-0.35087194305625,-0.0920866030049649,1.70126149914112
2018-10-17,0.192494591400013,-0.168686523129479,-0.35398634563778,-0.0929702609765652,1.71356428924019
2018-10-18,0.137065936795174,-0.215675143789265,-0.358067407746723,-0.143288981810087,1.71356428924019
2018-10-19,0.148057488295061,-0.22644517112141,-0.358748374368343,-0.144533570502482,1.71356428924019
2018-10-22,0.12655713952205,-0.220599402838619,-0.357437641659218,-0.15934417594198,1.71356428924019
2018-10-23,0.105217708824627,-0.229871157553035,-0.358125846960416,-0.178249478179458,1.72586707933925
2018-10-24,0.00222844657395059,-0.328027398512783,-0.356914572649259,-0.283529235669135,1.72586707933925
2018-10-25,0.070174833585042,-0.265420240126932,-0.358092713746754,-0.221959433056363,1.72586707933925
2018-10-26,0.0199954959933248,-0.310489198995251,-0.358185521999197,-0.280305750955832,1.72586707933925
2018-10-29,-0.021570489868246,-0.34535684189329,-0.366750188021111,-0.302011377751198,1.72586707933925
2018-10-30,0.0515574591767728,-0.31214821383849,-0.366651347505555,-0.250510297659901,1.72586707933925
2018-10-31,0.0924001606354378,-0.269129538458804,-0.36765534809034,-0.214280320824288,1.72586707933925
2018-11-01,0.137284446603077,-0.230908973777099,-0.364029293613515,-0.178647746561024,1.72586707933925
2018-11-02,0.118667072194808,-0.253890936902123,-0.363386874525995,-0.200191576826378,1.71356428924019
2018-11-05,0.150998054392118,-0.262284126502719,-0.361505432825469,-0.181211599267358,1.72586707933925
2018-11-06,0.180354593002773,-0.248233943811813,-0.359013557591603,-0.159879349079711,1.72586707933925
2018-11-07,0.272719874515694,-0.190143373562013,-0.354847514443848,-0.0871455858961577,1.72586707933925
2018-11-08,0.274569585447714,-0.202032632011662,-0.359452851979214,-0.095932382064465,1.72586707933925
2018-11-09,0.240366871950146,-0.23900781722449,-0.363556807194996,-0.128067662102099,1.71356428924019
2018-11-12,0.138375301768114,-0.300452203927115,-0.364421595310721,-0.196258676558411,NA
2018-11-13,0.121319679630287,-0.300449818142691,-0.365131487302293,-0.201286814875686,1.72586707933925
2018-11-14,0.0864275592194106,-0.319680433485386,-0.402563611127849,-0.226925341939019,1.72586707933925
